i_id,s_id,data,esg_type,promise_status,promise_string,verification_timeline,evidence_status,evidence_string,evidence_quality,company,ticker,page_number,pdf_url,company_source
10013,V4000_33049,董事會成員8席中：具員工身份之董事占 13%(1 位)；2 位獨立董事任期年資在 3 年以下，2 位獨立董事任期年資在 3-9 年；2 位董事年齡在 71 歲以上，3 位在 61~70 歲，3 位在 60 歲以下。本公司注重董事會成員組成之性別平等，目前董事會成員男性占 87%(7 位)，女性占 13%(1 位)，未來將盡力增加女性董事席次，以達成目標。,G,Yes,注重董事會成員組成之性別平等，,between_2_and_5_years,Yes,董事會成員男性占 87%(7 位)，女性占 13%(1 位)，未 ｜ 未來將盡力增加女性董事席次，以達成目標。,Clear,emc2,2383,18,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/emc2_2383_page_18.pdf,https://www.emctw.com/zh-TW/csr_report/index
10014,V4000_53071,國巨重視內部溝通管道，傾聽員工聲音。目前國巨暫無工會設置與簽訂團體協約，但公司為了員工能順暢無障礙的溝通、有效解決問題，我們每季定期舉行勞資協調會議，傾聽員工聲音，讓同仁有提出意見的管道。每月定期透過IR電子郵件發送公司營運狀況以及營運目標，相關內部組織異動也會由HR不定期發出公告，讓員工知悉公司相關政策及內部組織異動情形。員工觀點是公司所尊重，員工意見是公司所重視，透過各項溝通方式，鼓勵員工表達建設性的意見，為企業注入正向成長的力量。,S,Yes,了員工能順暢無障礙的溝通、有效解決問題， ｜ 員工觀點是公司所尊重，員工意見是公司所重視，透過各項溝通方式，鼓勵員工表達建設性的意見，為企業注入正向成長的力量。,longer_than_5_years,Yes,們每季定期舉行勞資協調會議，傾聽員工聲音，讓同仁有提出意見的管道。每月定期透過IR電子郵件發送公司營運狀況以及營運目標，相關內部組織異動也會由HR不定期發出公告，讓員工知悉公司相關政策及內部組織異動情形。,Clear,yageo,2327,113,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/yageo_2327_page_113.pdf,https://www.yageogroup.com/About/Sustainability
10015,V4000_55080,"為實現淨零願景與國際氣候承諾，廣達於2024年正式通過科學基礎減碳目標(Science Based Targets, SBT)審查，承諾以2022年為基準年，於2030年前達成範疇一與範疇二碳排放減少42%、範疇三減少25%，並以2050年實現整體價值鏈碳排放減少90%為長期目標。廣達於2024年度已達成SBTi所設定之年度碳減排階段性目標，展現落實氣候行動的決心與成效。",E,Yes,承諾以2022年為基準年，於2030年前達成範疇一與範疇二碳排放減少42%、範疇三減少25%，並以2050年實現整體價值鏈碳排放減少90%為長期目標。,longer_than_5_years,Yes,達於2024年度已達成SBTi所設定之年度碳減排階段性目標，,Clear,qci,2382,90,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/qci_2382_page_90.pdf,https://www.quantatw.com/quanta/chinese/esg/csrreport.aspx
10016,V4000_27088,萬海於 2021 年開始推動供應鏈管理優化計畫，規劃永續採購。2024 年除持續請供應商簽署新版「供應商企業社會責任承諾書」外，同時列出可納入評選之永續項目供採購部門參考，作為部門在遴選和評鑑時納入永續續績項目之依循，強化關鍵供應商之管理。萬海也陸續進行供應商管理教育相關的宣導與培訓，讓同仁能具備永續採購與永續供應鏈管理之知識。各部門執行供應鏈永續管理也不定期進行檢討回饋，為了更好的進行資料蒐集與管控，針對供應商遴選納入永續項目的中長期目標，進行滾動性調整。,S;E,Yes,萬海於 2021 年開始推動供應鏈管理優化計畫，規劃永續採購。,already,Yes,2024 年除持續請供應商簽署新版「供應商企業社會責任承諾書」外，同時列出可納入評選之永續項目供採購部門參考，作為部門在遴選和評鑑時納入永續續績項目之依循，強化關鍵供應商之管理。萬,Not Clear,wanhai,2615,57,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/wanhai_2615_page_57.pdf,https://esg.wanhai.com/wanhai/download?d=503295611635b4bd41da85
10017,V4000_23022,透過導入ISO14001，對公司的用水量進行全面盤點，並設定短、中、長期節水目標，以提升用水效率。,E,Yes,並設定短、中、長期節水目標，以提升用水效率。,between_2_and_5_years,Yes,2月12日,Clear,twm,3045,104,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/twm_3045_page_104.pdf,https://corp.taiwanmobile.com/esg/esg-report.html
10018,V4000_67044,範疇一排放總量增加 3.36%，主因為 2024 年營運船舶持續繞行紅海以致航行距離加長及使用較多的燃油，故耗油量及碳排放量無法下降，但整體密集度下降 34.73%；範疇二及範疇三排放量分別下降 6.09% 及 18.29%，顯示本公司持續推動節能減碳作為已見成效，未來將持續擴大再生能源及岸電使用，逐步導入生質燃油於航運作業中，以減少傳統化石燃料使用所產生之碳排放。,E,Yes,示本公司持續推動節能減碳作為已見成效，未來將持續擴大再生能源及岸電使用， ｜ 逐步導入生質燃油於航運作業中，以減少傳統化石燃料使用所產生之碳排放。,between_2_and_5_years,Yes,範疇一排放總量增加 3.36%，主因為 2024 年營運船舶持續繞行紅海以致航行距離加長及使用較多的燃油，故耗油量及碳排放量無法下降，但整體密集度下降 34.73%；範疇二及範疇三排放量分別下降 6.09% 及 18.29%，顯,Clear,ymtc,2609,92,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/ymtc_2609_page_92.pdf,https://esg.yangming.com/esg/sustainability_report/1/
10019,V4000_61086,"本公司依據 PCAF 方法論，完成 2024 年範疇三投融資部位碳排量計算，針對股權投資、個人房貸、商業不動產、專案投融資及債券投資 ( 包含主權債 ) 等進行盤查，涵蓋本公司及子公司投資與融資部位。投融資部位總碳排量約為 1,064 萬公噸二氧化碳約當量 (tCO₂e)，較 2023 年減少約 11.1%，碳足跡則為約 2.7 公噸 CO₂e/ 百萬新臺幣元，資料品質分數為 2.0，盤查覆蓋率為 80%。其中本公司主要財務碳排放投融資產業來源為電力及燃氣供應業、石油及天然氣礦業及石油及煤製品製造業，前三大財務碳排放產業碳排放量占總財務碳排放占比約 70%，其他產業占比約 30%，本公司將持續審視高碳排產業曝險情形。",E,Yes,本公司將持續審視高碳排產業曝險情形。,between_2_and_5_years,Yes,"本公司依據 PCAF 方法論，完成 2024 年範疇三投融資部位碳排量計算，針對股權投資、個人房貸、商業不動產、專案投融資及債券投資 ( 包含主權債 ) 等進行盤查，涵蓋本公司及子公司投資與融資部位。投融資部位總碳排量約為 1,064 萬公噸二氧化碳約當量 (tCO₂e)，較 2023 年減少約 11.1%，碳足跡則為約 2.7 公噸 CO₂e/ 百萬新臺幣元，資料品質分數為 2.0，盤查覆蓋率為 80%。其中本公司主要財務碳排放投融資產業來源為電力及燃氣供應業、石油及天然氣礦業及石油及煤製品製造業，前三大財務碳排放產業碳排放量占總財務碳排放占比約 70%，其他產業占比約 30%，",Clear,fubon,2881,120,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/fubon_2881_page_120.pdf,https://esg.fubonlife.com.tw/esg-report
10020,V4000_17019,智邦深知地球資源與永續發展的重要性，由總經理簽署環安衛政策，推動並融入環境安全衛生管理系統至整體管理體系。於生產活動我們評估製程、產品與環境間的相互關係，及可能發生安全之風險。為防止意外事故之發生及建立緊急應變系統，承諾做好環境安全衛生工作，並持續改善，建立符合安全衛生無虞的工作環境，達成企業永續發展。,S,Yes,推動並融入環境安全衛生管理系統至整體管理體系。 ｜ 承諾做好環境安全衛生工作，,between_2_and_5_years,No,,N/A,accton,2345,86,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/accton_2345_page_86.pdf,https://www.accton.com.tw/esg-documents/
10021,V4000_45050,2. 完善企業永續風險管理架構與執行  ● 建構涵蓋環境、社會與治理的風險識別與應變機制。  ● 應對地緣政治、通膨與能源等複合性風險。  ● 建立營運持續計畫書 (BCP)，提升供應鏈韌性與內部風險控管。,G,Yes,完善企業永續風險管理架構與執行  ● 建構涵蓋環境、社會與治理的風險識別與應變機制。  ● 應對地緣政治、通膨與能源等複合性風險。  ● 建立營運持續計畫書 (BCP)，提升供應鏈韌性與內部風險控管。,between_2_and_5_years,No,,N/A,qci,2382,47,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/qci_2382_page_47.pdf,https://www.quantatw.com/quanta/chinese/esg/csrreport.aspx
10022,V4000_23034,RE100(國際再生能源倡議)  台灣大透積極倡議環境永續價值，於2021年8月董事會承諾2030年IDC雲端機房100%使用綠能；2040年全公司達到100%使用再生能源，並於2022年3月正式加入RE100，積極布局綠能使用，包含綠電採購、自建綠能電廠等，加速減碳腳步，目標實現淨零排放(Net Zero)承諾。,E,Yes,2040年全公司達到100%使用再生能源， ｜ 目標實現淨零排放(Net Zero)承諾。,longer_than_5_years,Yes,積極倡議環境永續價值，於2021年8月董事會承諾2030年IDC雲端機房100%使用綠能； ｜ 2022年3月正式加入RE100，積極布局綠能使用，包含綠電採購、自建綠能電廠等，加速減碳腳步，,Clear,twm,3045,50,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/twm_3045_page_50.pdf,https://corp.taiwanmobile.com/esg/esg-report.html
10023,V4000_13086,2024 年，研華透過供應商大會正式宣達供應鏈減碳規劃，並強調減碳已成為全球產業發展的重要趨勢，同時也是提升供應鏈韌性與競爭力的關鍵因素。為因應國際趨勢與外部碳管理要求，研華期望所有戰略供應商能夠在 2027 年前完成組織碳盤查，並取得外部查證，共同打造更具永續競爭力的綠色供應鏈。,E,Yes,研華期望所有戰略供應商能夠在  ｜ 2027  ｜ 年前完成組織碳盤查，,between_2_and_5_years,Yes,2024  ｜ 年，研華透過供應商大會正式宣達供應鏈減碳規劃，並強調減碳已成為全球產業發展的重要趨勢，同時也是提升供應鏈韌性與競爭力的關鍵因素。,Not Clear,acl,2395,57,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/acl_2395_page_57.pdf,https://esg.advantech.com/zh-tw/downloads/sustainability-report
10024,V4000_23084,以「控制升溫1.5°C內」為情境，通過SBTi審查，於2040年達成減碳90%；長期若有需要，將以碳權、碳捕捉封存等方式，中和剩餘碳排，於2050年達成淨零碳排。,E,Yes,於2040年達成減碳90%； ｜ 於2050年達成淨零碳排。,longer_than_5_years,Yes,以「控制升溫1.5°C內」為情境，通過SBTi審查，,Clear,twm,3045,170,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/twm_3045_page_170.pdf,https://corp.taiwanmobile.com/esg/esg-report.html
10025,V4000_23074,為強化內控機制，全面盤點集團請購及驗收業務，針對一定金額以上之持續性大量請購、驗收及採購職務進行列管，定期強制人員輪調負責不同職務且規範於一定期限內不得回任原職之限制。每年持續依此標準檢視及盤點請購、驗收及採購職務，將新增職務納入列管，由人力資源處造冊控管前述列管職務之經辦人及其直屬主管，定期檢視其任職年資，達到規範年資上限即強制安排輪調。,G,Yes,每年持續依此標準檢視及盤點請購、驗收及採購職務，將,already,Yes,對一定金額以上之持續性大量請購、驗收及採購職務進行列管，定期強制人員輪調負責不同職務且規範於一定期限內不得回任原職之限制。,Not Clear,twm,3045,67,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/twm_3045_page_67.pdf,https://corp.taiwanmobile.com/esg/esg-report.html
10026,V4000_35035,為了降低產品的溫室氣體排放量，光寶已針對產品原材料和使用階段的碳排放進行調整。為了開發更低碳的產品，光寶不僅與供應鏈進行合作，進行研發更低碳原材料，並且加強研發能力，以提高電源產品的能源轉換效率、增加光電產品的發光效率等措施。,E,Yes,為了開發更低碳的產品，光寶不僅與供應鏈進行合作，進行研發更低碳原材料，並且加強研發能力，以提高電源產品的能源轉換效率、增加光電產品的發光效率等措施。,between_2_and_5_years,No,,N/A,ltc,2301,139,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/ltc_2301_page_139.pdf,https://www.liteon.com/zh-tw/esgoverview/esg-overview
10027,V4000_33063,2024 年重大主題 11 項與次要主題 7 項，依據臺灣證券交易所辦理公司治理評鑑要求，上市上櫃公司應依重大性原則，進行與公司營運相關之環境、社會及公司治理主題之風險評估，並訂定相關風險管理政策或策略。重大主題的風險發生的嚴重性與可能性，及其風險評估詳如下表分析與說明並摘要管理行動及風險評估後相關管理措施說明如下：（風險發生機率：1- 極不可能、2- 不太可能、3- 可能、4- 很可能、5- 幾乎確定 / 風險嚴重度：1- 很輕微、2- 輕微、3- 中等、4- 嚴重、5- 嚴重災難）。,G,Yes,上市上櫃公司應依重大性原則，,already,Yes,，進行與公司營運相關之環境、社會及公司治理主題之風險評估，並訂定相關風險管理政策或策略。 ｜ 。重大主題的風險發生的嚴重性與可能性，及其風險評估詳如下表分析與說明並摘要管理行動及風險評估後相關管理措施說明如下：（風險發生機率：1- 極不可能、2- 不太可能、3- 可能、4- 很可能、5- 幾乎確定 / 風險嚴重度：1- 很輕微、2- 輕微、3- 中等、4- 嚴重、5- 嚴重災難）。,Clear,largan,3008,11,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/largan_3008_page_11.pdf,https://www.largan.com.tw/tw/esg
10028,V4000_37051,全虹每年對供應商進行評鑑，確保合作夥伴的品質與服務達標。2024 年評鑑對象共計 61 家，涵蓋媒體廣告類、禮贈品類、工程維修類、行政事務類、資訊類及耗材類等類別之採購金額佔比 95.5%。評鑑結果顯示，優良及合格供應商共計 60 家，需改善 1 家，無不合格供應商。對於需改善的供應商，全虹已持續追蹤，並於半年內完成複評，確認其提升為合格供應商，維護供應商產品質穩定。,S,Yes,全虹每年對供應商進行評鑑，確保合作夥伴的品質與服務達標。,longer_than_5_years,Yes,2024 年評鑑對象共計 61 家，涵蓋媒體廣告類、禮贈品類、工程維修類、行政事務類、資訊類及耗材類等類別之採購金額佔比 95.5%。評鑑結果顯示，優良及合格供應商共計 60 家，需改善 1 家，無不合格供應商。對於需改善的供應商，全虹已持續追蹤，並於半年內完成複評，確認其提升為合格供應商，維護供應商產品質穩定。,Clear,fet,4904,62,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/fet_4904_page_62.pdf,https://corporate.fetnet.net/content/corp/tw/CSR/ReportDownload.html
10029,V4000_47008,統一超商以打造幸福企業為最高宗旨，致力於創造一個鼓勵自由表達想法並讓員工感受到尊重、歸屬感和多元友善的職場環境。在邁入超高齡社會的挑戰下，除了以創新職場模式，積極賦能中高齡長者，促進跨世代共融，還透過主動關懷機制、身心健康促進活動及完善的福利與設施，期望讓夥伴們從工作中感到成就、健康及幸福感，並以身為統一超商的一份子為榮。,S,Yes,統一超商以打造幸福企業為最高宗旨，致力於創造一個鼓勵自由表達想法並讓員工感受到尊重、歸屬感和多元友善的職場環境。,between_2_and_5_years,No,,N/A,pcsc,2912,9,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/pcsc_2912_page_9.pdf,https://www.7-11.com.tw/Company/esg/reports.aspx
10030,V4000_34058,玉山金控與《天下雜誌》合作舉辦「國際大師論壇」，作為學習平台，每年邀全球管理專家分享智慧。2024 年特邀實踐 SDGs 的 Paul Polman，闡述如何將企業轉型為「正效益企業」，應對氣候變遷與社會不平等等。玉山專場由三代玉山人交流，展現玉山持續學習、保持彈性並靈活調整的企業文化。,G,Yes,展現玉山持續學習、保持彈性並靈活調整的企業文化。,already,Yes,2024 年特邀實踐 SDGs 的 Paul Polman，闡述如何將企業轉型為「正效益企業」，應對氣候變遷與社會不平等等。,Clear,esfh,2884,136,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/esfh_2884_page_136.pdf,https://www.esunfhc.com/zh-tw/esg/resource-center/report
